datetime,cityid,spend_all,spend_inperson,bg_posts,new_case_rate,new_vaccine_rate,gps_away_from_home,emp_incq1
2020-01-01,22,,,,,,,-0.00732
2020-01-01,22,,,,,,,-0.00168
2020-01-01,22,,,,,,,0.00973
2020-01-01,22,,,,,,,-0.00732
2020-01-01,22,,,,,,,-0.00168
2020-01-01,22,,,,,,,0.00973
2020-01-01,22,,,,,,,-0.00732
2020-01-01,22,,,,,,,-0.00168
2020-01-01,22,,,,,,,0.00973
2020-01-01,22,,,,,,,-0.00732
2020-01-01,22,,,,,,,-0.00168
2020-01-01,22,,,,,,,0.00973
2020-01-02,22,,,,,,,-0.00732
2020-01-02,22,,,,,,,-0.00168
2020-01-02,22,,,,,,,0.00973
2020-01-02,22,,,,,,,-0.00732
2020-01-02,22,,,,,,,-0.00168
2020-01-02,22,,,,,,,0.00973
2020-01-02,22,,,,,,,-0.00732
2020-01-02,22,,,,,,,-0.00168
2020-01-02,22,,,,,,,0.00973
2020-01-02,22,,,,,,,-0.00732
2020-01-02,22,,,,,,,-0.00168
2020-01-02,22,,,,,,,0.00973
2020-01-03,22,,,,,,,-0.00732
2020-01-03,22,,,,,,,-0.00168
2020-01-03,22,,,,,,,0.00973
2020-01-03,22,,,,,,,-0.00732
2020-01-03,22,,,,,,,-0.00168
2020-01-03,22,,,,,,,0.00973
2020-01-03,22,,,,,,,-0.00732
2020-01-03,22,,,,,,,-0.00168
2020-01-03,22,,,,,,,0.00973
2020-01-03,22,,,,,,,-0.00732
2020-01-03,22,,,,,,,-0.00168
2020-01-03,22,,,,,,,0.00973
2020-01-04,22,,,,,,,-0.00732
2020-01-04,22,,,,,,,-0.00168
2020-01-04,22,,,,,,,0.00973
2020-01-04,22,,,,,,,-0.00732
2020-01-04,22,,,,,,,-0.00168
2020-01-04,22,,,,,,,0.00973
2020-01-04,22,,,,,,,-0.00732
2020-01-04,22,,,,,,,-0.00168
2020-01-04,22,,,,,,,0.00973
2020-01-04,22,,,,,,,-0.00732
2020-01-04,22,,,,,,,-0.00168
2020-01-04,22,,,,,,,0.00973
2020-01-05,22,,,,,,,-0.00732
2020-01-05,22,,,,,,,-0.00168
2020-01-05,22,,,,,,,0.00973
2020-01-05,22,,,,,,,-0.00732
2020-01-05,22,,,,,,,-0.00168
2020-01-05,22,,,,,,,0.00973
2020-01-05,22,,,,,,,-0.00732
2020-01-05,22,,,,,,,-0.00168
2020-01-05,22,,,,,,,0.00973
2020-01-05,22,,,,,,,-0.00732
2020-01-05,22,,,,,,,-0.00168
2020-01-05,22,,,,,,,0.00973
2020-01-06,22,,,,,,,-0.00732
2020-01-06,22,,,,,,,-0.00168
2020-01-06,22,,,,,,,0.00973
2020-01-06,22,,,,,,,-0.00732
2020-01-06,22,,,,,,,-0.00168
2020-01-06,22,,,,,,,0.00973
2020-01-06,22,,,,,,,-0.00732
2020-01-06,22,,,,,,,-0.00168
2020-01-06,22,,,,,,,0.00973
2020-01-06,22,,,,,,,-0.00732
2020-01-06,22,,,,,,,-0.00168
2020-01-06,22,,,,,,,0.00973
2020-01-07,22,,,,,,,-0.00732
2020-01-07,22,,,,,,,-0.00168
2020-01-07,22,,,,,,,0.00973
2020-01-07,22,,,,,,,-0.00732
2020-01-07,22,,,,,,,-0.00168
2020-01-07,22,,,,,,,0.00973
2020-01-07,22,,,,,,,-0.00732
2020-01-07,22,,,,,,,-0.00168
2020-01-07,22,,,,,,,0.00973
2020-01-07,22,,,,,,,-0.00732
2020-01-07,22,,,,,,,-0.00168
2020-01-07,22,,,,,,,0.00973
2020-01-08,22,,,,,,,-0.00732
2020-01-08,22,,,,,,,-0.00168
2020-01-08,22,,,,,,,0.00973
2020-01-08,22,,,,,,,-0.00732
2020-01-08,22,,,,,,,-0.00168
2020-01-08,22,,,,,,,0.00973
2020-01-08,22,,,,,,,-0.00732
2020-01-08,22,,,,,,,-0.00168
2020-01-08,22,,,,,,,0.00973
